Date,Location/Operator,Aircraft Type/Registration,Fatalities
24 Nov 1931,"Near Tsinan, ChinaChina National Aviation Corporation",Stinson?,3/3(0)
26 Nov 1931,"Pasco, WashingtonVarney Air Lines",Boeing 40NC10338,1/1(0)
05 Dec 1931,"Kewanee, IllinoisBraniff Airways",Lockheed Vega 5NC433E,2/6(0)
06 Dec 1931,"Bangkok, ThailandKLM Royal Dutch Airlines",Fokker F-VIIb-3MPH-AFO,5/7(0)
09 Dec 1931,Off AlgiersAeropostale,CAMS 56F-AIOX,2/2(0)
31 Dec 1931,"Springfield, OhioAmerican Airways",Fairchild Pilgrim 100A?,4/5(0)
21 Jan 1932,"Colvin Park, IlinoisNorthwest Airways",Stinson SM-2ANC443H,1/1(0)
29 Jan 1932,"Lebec, CaliforniaCentury Pacific Lines",Stinson SM-6000BNC10813,8/8(0)
01 Feb 1932,"Off Miami, FloridaBimini Airways",Fairchild?,5/5(0)
02 Feb 1932,"Rio Vista, CaliforniaBoeing Air Transport",Boeing 40 NC291,1/2(0)
02 Feb 1932,"Marcellus, MichiganTransamerican Airlines",Stearman C-3MBNC6411,1/1(0)
27 Feb 1932,"Off Setiba, BrazilAeropostale",Latecoere 28F-AJOX,3/3(0)
08 Mar 1932,"Saint Louis, IllinoisCentury Air Lines",Stinson SM-6000BNC11122,3/5(0)
19 Mar 1932,"Calimesa, CaliforniaAmerican Airways",Fokker F-10ANC652E,7/7(0)
21 Mar 1932,"Steubenville, OhioTrans Continental and Western Air",Northrop Alpha 3NC966Y,1/1(0)
29 Mar 1932,"Rutbah Wells, IraqAir Orient",Farman F-190F-AJDP,F-AJDP,3/3(0)
31 Mar 1932,"Bedford, OhioNational Air Transport",Boeing 95NC191E,1/1(0)
21 Apr 1932,"Fort Wayne, IndianaTransamerica Airlines",Stearman C-3MBNC6412,1/1(0)
16 May 1932,"Burbank, CaliforniaPacific Air Transport",Boeing 40NC5589,3/3(0)
30 May 1932,"Portland, OregonVarney Air Lines",Boeing 40NC830M,1/2(0)
16 Jul 1932,"Mount El Plomo, near Vitacura, ChilePanagra",Ford 5-AT-C Tri MotorNC403H,9/9(0)
12 Aug 1932,"Beyrouth, LebanonAir Orient",CAMS 53F-AIQY,0/7(0)
31 Aug 1932,"Tubergen, GermanyA B Aerotransport",Junkers G-23SE-AAE,2/2(0)
08 Sep 1932,"Salt Flats, TexasAmerican Airways",Fokker F-10NC9716,3/4(0)
17 Sep 1932,"Selsdon Park, EnglandAir Union",Liore-et-Olivier 213F-AIFE,1/2(0)
18 Sep 1932,"Byron Bay, AustraliaNew England Airways",De Havilland DH-80VH-UPM,3/3(0)
12 Oct 1932,"Port Etienne, MauritaniaAeropostale",Latecoere 28F-AJIP,1/1(0)
26 Oct 1932,"Villa Monte, BoliviaLloyd Aero Boliviano",Ford Tri-motor 5?,2/2(0)
29 Oct 1932,"Ramsgate, EnglandDeutsche Lufthansa",Junkers W-33 D-2017,2/2(0)
02 Nov 1932,"Echterpfuhl, GermanyDeutsche Lufthansa",Junkers F-13D-724,5/5(0)
25 Nov 1932,"Marianna, ArkansasHunter Airways",Travel Air 6000 NC369M,2/2(0)
14 Dec 1932,"Amarillo, TexasTrans Continental and Western Air",Ford 5NC9650,2/2(0)
14 Dec 1932,"Rocky Ridge, ColoradoBoeing Air Transport",Boeing 40NC281,1/1(0)
26 Dec 1932,"Wau, AustraliaGuinea Airways",De Havilland DH-60VH-UMJ,1/1(0)
10 Jan 1933,AlgiersAeropostale,CAMS 53F-AISV,1/3(0)
14 Jan 1933,"Newark, New JerseyEastern Air Transport",Curtiss Condor 18NC185H,2/2(0)
20 Jan 1933,"Marietta, GeorgiaAmerican Airways",Stearman 4N490W,1/1(0)
20 Jan 1933,"Bourne, TexasAmerican Airways",Stearman 4NC11721,1/1(0)
24 Jan 1933,"Eugene, OregonPacific Air Transport",Ford 5-AT-DNC431H,2/3(0)
11 Mar 1933,"Near Mendoza, ArgentinaPan American Grace Airways",Fairchild FC-2WNC9723,2/2(0)
25 Mar 1933,"Hayward, CaliforniaVarney Airlines",Lockheed Orion 9NC12226,3/3(11)
28 Mar 1933,"Near Dixmude, BelgiumImperial Airways",Armstrong Whitworth Argosy IIG-AACI,15/15(0)
03 Apr 1933,"Hemkenrode, GermanyDeutsche Lufthansa",Junkers F-13D-534,1/2(0)
04 Apr 1933,"Off Barnegat, New JerseyMilitary - U.S. Navy",Goodyear-Zeppelin U.S.S. Akron (airship)ZRS-4,73/76(0)
23 Apr 1933,"Near Castrovillari, Calabria, ItalyAir Orient",Cams 53-1F-ALCE,5/8(0)
29 Apr 1933,"Traunstein, GermanyEurasia",Junkers W-34D-4,4/4(0)
09 May 1933,"Near Viladrau, SpainAeropostale - La Tecoere Company",Latecoere 28-1F-AJIX,6/6(0)
04 Jun 1933,"Bowling Green, VirginiaEastern Air Transport",Pitcairns PA-6?,1/1(0)
11 Jun 1933,"Glenview, IllinoisPalwaukee",Sikorsky S-38B (flying boat)NC-141M,9/9(0)
18 Jul 1933,Aegean SeaSocieta Anonima Aero Expresso Italiana,CMASA Wal (flying boat)I-AZEE,6/6(0)
29 Aug 1933,"Quay, New MexicoTrans Continental and Western Air",Ford 5-AT-B Tri MotorNC9607,5/5(0)
12 Sep 1933,"Near Ljubljana, YugoslaviaAeroput",Farman F-306YU-SAH,8/8(0)
10 Oct 1933,"Chesterton, IndianaUnited Air Lines",Boeing 247NC13304,10/10(0)
31 Oct 1933,"Etobon, FranceAir France",Farman F-301F-AJMI,2/5(0)
09 Nov 1933,"Portland, OregonUnited Air Lines",Boeing 247NC13345,4/10(?)
10 Nov 1933,"Moriarty, New MexicoTrans Continental and Western Air",Northrop DeltaNC12292,0/1(0)
20 Nov 1933,"Near Tsinan, ChinaChina National Aviation Corporation",Stinson?,8/8(?)
21 Nov 1933,"Near Kharkov, Ukraine, USSRKalinin",Kalinin K-7?,14/20(0)
24 Nov 1933,"Wedron, IllinoisNational Air Transport",Boeing 247NC13324,2/2(0)
11 Dec 1933,"Hamburg, GermanyDeutsche Lufthansa",Focke-Wulf A-17D-1403,6/10(0)
14 Dec 1933,"Eshowe, South AfricaUnion Airways",Junkers W-34ZS-AEB,5/6(0)
30 Dec 1933,"Near Ruysselede, BelgiumImperial Airways",Avro 10G-ABLU,10/10(0)
15 Jan 1934,"Corbigny, FranceAir France",Dewoitine D-332F-AMMY,14/14(0)
20 Jan 1934,"Carombe, FranceAir France",Breguet 280TF-AJKX,2/2(0)
23 Feb 1934,"Near Salt Lake City, UtahBoeing Aircraft Company",Boeing 247NC13357,8/8(0)
26 Feb 1934,"Rio de Oro, MoroccoAir France",Latécoère 28F-AJPA,1/6(0)
06 Mar 1934,"Petersburg, IllinoisAmerican Airways",Fairchild Pilgrim 100ANC710Y,4/4(0)
10 Mar 1934,"Pereira, ColombiaPan American Airways (Scadta)",Sikorsky S-38 Flying BoatNC-9107,5/6(0)
22 Mar 1934,"Near Lima, PeruPan American Grace Airlines",Ford 5-AT-C Tri-MotorNC407H,3/15(0)
10 Apr 1934,"Ningpo Bay, ChinaChina National Aviation Corporation",Sikorsky S-38BBNV17V,3/3(0)
09 May 1934,English ChannelAir France,Wibault 282TF-AMHP,6/6(0)
31 May 1934,"Croydon, EnglandAir France",Liore-et-Olivier 213F-AIVG,2/2(0)
09 Jun 1934,"Mongaup Mountain, New YorkAmerican Airways",Curtiss Condor T-32NC12354,7/7(0)
11 Jun 1934,"Junin, ArgentinaPanagra",Ford 5-AT-C Tri-MotorNC8417,6/10(0)
22 Jun 1934,"Chausseehausen, GermanyDeutsche Lufthansa",Dornier MerkurD-1445,1/7(0)
23 Jun 1934,"Burbank, CaliforniaAerevias Centrales Air Service",Lockheed OrionXA-BEJ,1/1(0)
09 Jul 1934,"San Bernardino, CaliforniaUnited Air Services",Lockheed VegaNC32E,3/4(0)
27 Jul 1934,"Near Tuttlingen, GermanySwissair",Curtiss AT-32C CondorCH-170,12/12(0)
05 Aug 1934,"Bahia, BrazilAir France",Latecoere 26F-AILK,2/2(0)
10 Aug 1934,"Ningbo, ChinaChina National Aviation Corporation",Sikorsky S-38B?,?/?(?)
31 Aug 1934,"Amazonia, MissouriRapid Air Transport",Stinson  SM-6000BNC11118,5/5(0)
02 Oct 1934,English ChannelHillman's Airways,de havilland 89 Dragon RapideG-ACPM,7/7(0)
03 Oct 1934,"Near Winton, AustraliaQantas",de Havilland DH-50AVH-UHE,3/3(0)
19 Oct 1934,"Bass Strait, AustraliaHolymans Airways",de Havilland DH-86VH-URN,11/11(0)
02 Nov 1934,"Kiapit, AustraliaHoldens Air Transport Service",De Havilland DH-61VH-UHW,2/4(0)
15 Nov 1934,"Amazonia, MontanaRapid Air Transport",Stinson SM-6000-BNC10809,2/2(0)
15 Nov 1934,"Near Longreach, AustraliaQantas",de Havilland DH-86VH-USG,4/4(0)
07 Dec 1934,"Salchau, GermanyDeutsche Lufthansa",Junkers F-13D-OMAS,3/3(0)
08 Dec 1934,"Columbia, MissouriBraniff Airlines",Lockheed Vega 5CNC106W,1/1(0)
10 Dec 1934,"Palma Soriano, CubaCubana de Aviacion",Ford 4-AT-E Tri-motorNM-7,4/8(0)
20 Dec 1934,"Rutbah Wells, SyriaKLM Royal Dutch Airlines",Douglas DC-2-115APH-AJU,7/7(0)
22 Dec 1934,"Sunbright, TennesseeAmerican Airlines",Lockheed Orion 9DNC12286,1/1(0)
31 Dec 1934,?Aeroflot,Tupolev ANT-9?,10/10(0)
08 Jan 1935,"Near Karachi, PakistanIndian Air Force",Wapiti?,0/2(15)
26 Jan 1935,"Pittsburgh, PennsylvaniaTrans Continental and Western Air",Consolidated FleetsterNC13212,1/1(0)
31 Jan 1935,"Stettin, GermanyDeruluft",Junkers JU-52/3mD-AREN,11/11(0)
07 Mar 1935,"Schievelbein, GermanyDeruluft",Rochrbach RolandD-AJYP,0/3(0)
15 Mar 1935,"El Arish, EgyptMisrair",de Havilland Dragon 1SU-ABI,3/6(0)
29 Mar 1935,"Off Samland, GermanyDeutsche Lufthansa",Junkers F-13D-OHIL,5/5(0)
01 Apr 1935,"Beauvais, FranceAir France",Farman F-300F-ALHQ,1/3(0)
06 Apr 1935,"Brilon, GermanyKLM Royal Dutch Airlines",Fokker F-12PH-AFL,7/7(0)
01 May 1935,"Near Walsenberg, ColoradoVarney Air Lines",Lockheed VegaNC891E,1/1(0)
06 May 1935,"Atlanta, MissouriTrans Continental and Western Air",Douglas DC-2-112NC13785,5/14(0)
18 May 1935,"Near Moscow, RussiaGor'ky Eskadril'ya",Tupolev ANT-20 / I-5CCCP-I20,50/50(2)
18 May 1935,"Flint, MichiganKnowles Flying Service of Detroit",Ford model 4-AT-EWC-7864,3/12(0)
27 May 1935,"Glendo, WyomingWyoming Air Service",Boeing 221NC725W,1/1(0)
28 May 1935,"Maywood, IllinoisChicago and Southern Airlines",Stinson SM6000B Tri-motorNC10894,2/2(0)
29 May 1935,"San Barbra, Honduras?",??,6/9(0)
24 Jun 1935,"Medellin, ColombiaServicio Aereo Columbiano / SCADTA",Ford Tri-Motor / Ford Tri-MotorC-31 / F-31,17/20(0)
14 Jul 1935,"Amsterdam, NetherlandsKLM Royal Dutch Airlines",Fokker F-XXIIPH-AJQ,6/20(0)
19 Jul 1935,"Off Chandeleur Island, MississippiWedell-Williams Air Service Corporation",General 102-ENC-492K,2/2(0)
20 Jul 1935,"Pian Giacomo, SwitzerlandKLM Royal Dutch Airlines",Douglas DC-2PH-AKG,13/13(0)
23 Jul 1935,"Cardiff, United KingdomJersey Airways",de Havilland DH-84 DragonG-ACMP,1/8(0)
28 Jul 1935,"El Retiro, ColombiaFuerza Aerea Colombiana",Junkers W-34406,5/5(0)
07 Aug 1935,"Cairo, EgyptAla Littoria",Savoia-Marchetti S-66I-REDI,7/7(0)
13 Aug 1935,"Hangow, ChinaChina National Aviation Corporation",Sikorsky S-38BNV40V,?/?(?)
14 Aug 1935,"Near Gilmer, TexasDelta Air Lines",Stinson Model ANC14599,4/4(0)
15 Aug 1935,"Walakpa, near Point Barrow, AlaskaPrivate",Lockheed Orion 9E Explorer float planeNR12283,2/2(0)
15 Aug 1935,"Near Glendo, WyomingAero Mayflower Transit Co","Waco, model YLCNC14140",3/3(0)
01 Sep 1935,"Burbank, CaliforniaWestern Air Express",Boeing 247NC13314,3/3(0)
13 Sep 1935,"Near Tambo, PanamaPanama Airways",Ford Tri-Motor?,8/8(0)
02 Oct 1935,"Off Finders Island, Victoria, AustraliaHolyman Airways",de Havilland DH-86VH-URT,5/5(0)
07 Oct 1935,"Near Cheyenne, WyomingUnited Air Lines",Boeing 247DNC13317,12/12(0)
09 Oct 1935,Gulf of FinlandAero O-Y,Junkers F-13OH-ALI,6/6(0)
21 Oct 1935,"Troy, New YorkChamberlin Flying Service",Curtiss AT-32C CondorNC725K,1/6(0)
30 Oct 1935,"Cheyenne, WyomingUnited Air Lines",Boeing B-247-DNC13323,4/4(0)
02 Nov 1935,"Off Nhambupe, BrazilAir France",Latécoère 28-1F-AJIQ,4/4(0)
09 Nov 1935,"Near Fort Worth, TexasBraniff Airlines",Lockheed VegaNC980Y,1/1(0)
09 Nov 1935,"Brindisi, ItalyImperial Airways",Short S-17 KentG-ABFB,12/13(0)
11 Nov 1935,"Istres, FranceAir France",Latecoere 28F-AJPB,3/3(0)
04 Dec 1935,"Tours, FranceAir Bleu",Caudron C-630 SimounF-ANRK,1/2(0)
10 Dec 1935,"Croydon, EnglandSabena",Savoia-Marchetti SM73OO-AGN,11/11(0)
24 Dec 1935,"Wroctaw, PolandDeutsche Lufthansa",Heinkel He-70D-UVOR,3/3(0)
31 Dec 1935,"Off Alexandria, EgyptImperial Airways",Short S-8 Calcutta flying boatG-AASJ,12/13(0)
14 Jan 1936," Tres Esquinas, ColombiaMilitary - Fuerza Aerea Colombiana",Junkers JU-52624,13/16(0)
14 Jan 1936,"Goodwin, ArkansasAmerican Airlines",Douglas DC-2-120NC14274,17/17(0)
17 Jan 1936,"Near Cordillera, BolivaLloyd Aereo Boliviano",Junkers JU-52?,13/13(0)
21 Jan 1936,"Off Ajaccio, Corsica, FranceAir France",CAMS 53F-AJIR,6/6(0)
29 Jan 1936,"Denton, TexasAmerican Airlines",Vultee V-1NC13767,1/6(0)
10 Feb 1936,Atlantic OceanAir France,Latecoere 301 (flying boat)F-ANLE,6/6(0)
15 Feb 1936,South Atlantic OceanDeutsche Lufthansa,Dormier Do-J-Iif Bos Wal flying boatD-ADYS,4/4(0)
05 Mar 1936,"Near Tengya, ChinaChina National Aviation Corporation",Ford 5-AT-D Tri-Motor?,0/6(0)
14 Mar 1936,"Ovalle, ChileLan Chile",Fairchild FC-219,5/5(0)
26 Mar 1936,"Amemeca, MexicoMexicana",Ford 5-AT-B Tri MotorXA-BCB,14/14(0)
01 Apr 1936,"Pavillon, New YorkAmerican Airlines",Stinson Model ANC15152,2/2(0)
07 Apr 1936,"Uniontown, PennsylvaniaTrans Continental and Western Air",Douglas DC-2-112NC13721,12/14(0)
11 Apr 1936,"Port of Spain, TrinidadPan American Airways",Sikorsky S-42A  Flying BoatNC1537,3/25(0)
15 Apr 1936,"Near Turin, ItalyAvio Linee Italiane",OFM F-VIIb/3mI-AAXZ,7/7(0)
17 Apr 1936,"Orvin, SwitzerlandDeutsche Lufthansa",Junkers JU-52D-ASOR,3/5(0)
21 Apr 1936,"Senlis, FranceSabena",Fokker F-VIIOO-AIF,2/2(0)
30 Apr 1936,"Basel, SwitzerlandSwissair",General Aviation GA-43HB-ITU,2/2(0)
16 May 1936,"Mount Waverley, AustraliaHolymans Airways",De Havilland DH-60 MothVH-UII,2/2(0)
09 Jun 1936,"Malmo, SwedenA B Aerotransport",Fokker F-XXIISE-ABA,1/15(0)
13 Jun 1936,"Hannover, GermanyDeutsche Lufthansa",Junkers JU-160D-UPYM,1/6(0)
16 Jun 1936,"Mt. Lihesten, NorwayDen Norske Luftfartskole",Junkers JU-52/3mLN-DAE,7/7(0)
15 Jul 1936,"Zagreb, CroatiaAeroput",Spartan CruiserYU-SAP,7/7(0)
28 Jul 1936,"Kulyab, TajikistanAeroflot",Tupolev ANT-9?,6/6(0)
31 Jul 1936,"Off Channel Islands, JerseyGuernsey Airways",Saro A-19 CloudG-ABXW,10/10(0)
02 Aug 1936,"Mazamet, FranceAir France",Wibault 280F-ANBL,F-ANBL,3/3(0)
03 Aug 1936,"Ciudad Serdan,MexicoMexicana",Lockheed 9 OrionXA-BAY,1/1(0)
05 Aug 1936,"St. Louis, MissouriChicago Southern Airlines",Lockheed 10B ElectraNC16022,8/8(0)
06 Aug 1936,"Choco, ColombiaSCADTA",Junkers F-13C-40,2/3(0)
12 Aug 1936,"Altenkirchen, GermanyBritish Airways",De Havilland DH-86G-ADEB,2/2(0)
22 Aug 1936,"Mirabella, GreeceImperial Airways",Short S-17 KentG-ABFA,2/11(0)
05 Sep 1936,"Near Pittsburgh, PennsylvaniaPittsburgh Skyways Inc.",Stinson SM 6000BNC117S,10/11(0)
24 Sep 1936,"Benghazi, LibyaAla Littoria SA",CRDA CANT Z-506I-RODI,9/10(0)
25 Sep 1936,English ChannelImperial Airways,Boulton and Paul P-71G-ACOX,2/2(0)
28 Sep 1936,"Walsenberg, ColoradoVarney Air Lines",Lockheed  5 VegaNC176W,3/3(0)
29 Sep 1936,"Napierville, IllinoisBlue Bird Air Service",Lockheed Vega 5CNC959Y,4/4(0)
06 Oct 1936," Francisco Rueda,  Tabasco, MexicoMexicana",Lockheed OrionXA-BDH,1/1(0)
09 Oct 1936,"Selby, North Yorkshire, United KingdomNorth Sea Aerial and General Transport",Blackburn B-2G-ABWI,1/1(0)
01 Nov 1936,"Near Tabarz, GermanyDeutsche Lufthansa",Junkers JU-52D-APOO,11/15(0)
17 Nov 1936,"Nurnberg, GermanyDeutsche Lufthansa",Junkers JU-52/3mD-ASUI,4/16(0)
19 Nov 1936,"London, EnglandBritish Airways",Fokker F-XIIG-AEOT,2/4(0)
04 Dec 1936,"Near Grenoble, FranceDeutsche Lufthansa",Junkers JU-52/3mD-ASIH,6/6(0)
06 Dec 1936,"Near Moscow, RussiaDeruluft",Antonov AN-9CCCP-D311,9/14(0)
07 Dec 1936,"Off Dakar, French West AfricaAir France",Latécoère 300 (float plane.F-AKGF,5/5(0)
09 Dec 1936,"Croydon, EnglandKLM Royal Dutch Airlines",Douglas DC-2-115EPH-AKL,15/17(0)
15 Dec 1936,"Near Salt Lake City, UtahWestern Air Express",Boeing 247DNC13370,7/7(0)
18 Dec 1936,"Kellogg, IdahoNorthwest Orient Airlines",Lockheed 10 ElectraNC14935,2/2(0)
19 Dec 1936,"Near Milford, PennsylvaniaEastern Air Lines",Douglas DC-2-112NC13732,0/11(0)
23 Dec 1936,"Near Dallas, TexasBraniff Airways",Lockheed 10 ElectraNC14905,6/6(0)
26 Dec 1936,"Nanking, ChinaChina National Aviation Corporation",Douglas DC-2NC14269,?/?(?)
27 Dec 1936,"Newhall, CaliforniaUnited Air Lines",Boeing 247DNC13355,12/12(0)
11 Jan 1937,"Near Playa V icente, Veracruz, MexicoMexicana",Lockheed 10E ElectraX-ABEO,9/9(0)
12 Jan 1937,"Near Newhall, CaliforniaWestern Air Express",Boeing 247DNC13315,5/13(0)
26 Jan 1937,"Oran, AlgeriaSabena",Sabca S-73OO-AGR,12/12(0)
09 Feb 1937,"Off San Francisco, CaliforniaUnited Air Lines",Douglas DC-3ANC16073,11/11(0)
19 Feb 1937,"McPherson Ranges, Queensland, AustraliaAirlines of Australia",Stinson Model AVH-UHH,5/7(0)
12 Mar 1937,"Bathurst, GambiaDeutsche Lufthansa",Heinkel He-111V2D-ALIX,4/4(0)
24 Mar 1937,"Near Ouroux, FranceImperial Airways",Short  S-23 (flying boat)G-ADVA,5/6(0)
25 Mar 1937,"Clifton, PennsylvaniaTrans Continental and Western Air",Douglas DC-2-112NC13730,13/13(0)
26 Mar 1937,"Wetnum, GermanyDeutsche Lufthansa",Junkers JU-52/3mD-UPOZ,0/6(0)
06 May 1937,"Lakehurst, New JerseyDeutsche Zeppelin Reederei",Zeppelin LZ-129D-LZ-129,35/97(1)
20 May 1937,"Stuttgart, GermanyDeutsche Lufthansa",Heinkel He-70D-UXUV,4/4(0)
02 Jun 1937,Desertores Island Región de Los LagosFuerzs Aerea De Chile,Sirkorsky S-43 (flying boat)2,9/9(0)
20 Jun 1937,?ENTA,Travel Air 6000TI-3,6/6(?)
02 Jul 1937,"Off Lae, New GuineaPrivate - Purdue Reasearch Foundation",Lockheed 10E ElectraNR16020,2/2(0)
28 Jul 1937,"Hal, BelgiumKLM Royal Dutch Airlines",Douglas DC-2-115LPH-ALF,15/15(0)
02 Aug 1937,"Wadi Halfa, SudanAla Littoria",Savoia-Marchetti SM73I-SUSA,9/9(0)
02 Aug 1937,"Off Cristobal, PanamaPan American Grace Airways",Sikorsky S-43NC15065,14/14(0)
06 Aug 1937," Bistrita, RomaniaAeroflot",Douglas DC-2CCCP-M25,5/5(0)
08 Aug 1937,"Chilang Point, Bias Bay, ChinaChina National Aviation Corporation",Sikorsky S-43NC16930,3/11(0)
10 Aug 1937,"Daytona Beach, FloridaEastern Air Lines",Douglas DC-2NC-13739,4/9(0)
23 Aug 1937,"San Luis, ArgentinaPan American Grace Airways",Douglas DC-2NC14298,3/3(0)
27 Aug 1937,"Wau, Papua New GuineaGuinea Airways",Stinson SR-7 ReliantVH-URC,1/1(1)
01 Oct 1937,"Phaleron Bay, GreeceImperial Airways",Short Empire flying boatG-ADVC,2/14(0)
06 Oct 1937,"Palembang, Netherlands IndiesKLM Royal Dutch Airlines",Douglas DC-3PH-ALS,4/11(0)
17 Oct 1937,"Haydens Peak, WyomingUnited Air Lines",Douglas DC-3NC16074,19/19(0)
27 Oct 1937,Off Western AfricaAir France,Dewoitine D-333F-ALQA,7/7(0)
11 Nov 1937,"Warsaw, PolandLot Polish Airlines",Lockheed 10 ElectraSP-AYD,4/11(0)
12 Nov 1937,"Mannheim, GermanyDeutsche Lufthansa",Heinkel He-111D-AXAV,10/12(0)
12 Nov 1937,"Warsaw, PolandLOT",Lockhed 10 ElectraSP-AYD,4/11(?)
16 Nov 1937,"Ostende, BelgiumSabena",Junkers JU-52/3mOO-AUB,11/11(0)
26 Nov 1937,"Croydon, United KingdomDeutsche Lufthansa",Junkers JU-52D-AGAV,3/3(0)
04 Dec 1937,"Munich, GermanyAla Littoria",Junkers JU-52I-BAUS,4/17(0)
05 Dec 1937,"Brindisi Harbor, ItalyImperial Airways",Short Empire Flying BoatG-ADUZ,2/19(0)
05 Dec 1937," Brindisi, ItalyImperial Airways",Short S-23 (flying boat)G-ADUZ,2/8(0)
08 Dec 1937,"Saint Sauveur, FranceAir France",Potez 621F-AOTZ,2/7(0)
24 Dec 1937,"Kasperske Hory, CzechoslovakiaAir France",Wibault 283-T12F-AMYD,3/3(0)
04 Jan 1938,"Frankfurt, GermanyLufthansa",Junkers JU-38D-ABUR,6/6(0)
10 Jan 1938,"Bozeman, MontanaNorthwest Orient Airlines",Lockheed 14H Super ElectraNC-17388,10/10(0)
11 Jan 1938,"Pago Pago, U.S. SamoaPan American World Airways",Sikorsky S-42 (flying boat)NC16734,7/7(0)
12 Jan 1938,"North Pine, Ontario, CanadaGeneral Airways",Stinson Reliant SR-9CF-BEI,1/1(0)
02 Feb 1938,"Off San Clemente Island, CaliforniaMilitary - U.S. Navy / Military - U.S. Navy",Consolidated PBY-2 / Consolidated PBY-204062 / 0463,11/14(0)
05 Feb 1938,"Kandalaksha, RussiaTsAGI",V6 (airship)CCCP-V6,13/19(0)
09 Feb 1938,"Guadalupe, MexicoMexicana",Lockheed 10 ElectraXA-BAS,2/2(0)
09 Feb 1938,"Marseille, FranceAir France",Lioré-et-Olivier H-242F-ANPB,8/12(0)
13 Feb 1938,Mediterranean SeaAla Littoria SA,Cant Z-506I-ORIA,14/14(0)
22 Feb 1938,"Pontoise, FranceDeutsche Lufthansa",Junkers JU.52D-APAR,3/3(0)
01 Mar 1938,"Near Wawona, CailiforniaTrans Continental and Western Air",Douglas DC-2-112NC13789,9/9(0)
07 Mar 1938,"Datia, IndiaAir France",Potez 621F-ANQR,7/7(0)
08 Mar 1938,"Somerton, AustraliaAustralian National Airways",De Havilland DH-60VH-UNU,1/1(0)
23 Mar 1938,"Corsavy, FranceAir France",Dewoitine D-338F-AQBB,8/8(0)
30 Apr 1938,"Near Formia, ItalyAla Littoria",Junkers JU-52I-BAUS,19/19(0)
05 May 1938,"Balbuena, MexicoLineas Aéreas Mineras",Lockheed Vega 5BXA-BFR,1/6(0)
10 May 1938,"Mangere, New ZealandUnited Airways of New Zealand",Lockheed 10 ElectraZK-AFC,2/2(0)
16 May 1938,"Near Saugus, CaliforniaNorthwest Orient Airlines",Lockheed 14-H2 Super ElectraNC17394,9/9(0)
22 May 1938,"Sao Paulo, BrazilCruzeiro do Sul",Junkers JU-52/3mPP-CBC,6/17(0)
24 May 1938,"Cleveland, OhioUnited Air Lines",Douglas DST-A-207ANC18108,10/10(0)
27 May 1938,"Alberno Canal, BC, CanadaGinger Coote Airways",Fairchild 51CF-AUX,1/1(0)
27 May 1938,"Langeoog, GermanyDeutsche Lufthansa",Heinkel 116D-ATIO,3/3(0)
08 Jun 1938,"Near Singida, TanzaniaWilson Airways",De Havilland DH-85VP-KBE,3/3(0)
19 Jun 1938,"Mount  Mercedario, ChilePan American Grace Airways",Douglas DC-2NC14272,4/4(0)
08 Jul 1938,"Billings, MontanaNorthwest Orient Airlines",Lockheed 14 Super ElectraNC17383,1/10(0)
14 Jul 1938,"Off Sardinia, ItalyAla Littoria",Savoia Marchetti S-66I-VOLO,20/20(0)
19 Jul 1938,AndesPanagra,Douglas DC-2NC14272,4/4(?)
22 Jul 1938,"Stulpica, RomaniaLOT Polish Airlines",Lockheed 14H Super ElectraSP-BNG,14/14(0)
27 Jul 1938,"Kisumu, KenyaImperial Airways",Armstrong-Withworth AtlantaG-ABTG,4/4(0)
29 Jul 1938,Pacific Ocean between Manila and GuamPan American World Airways,Martin M-130 (flying boat)NC14714,15/15(0)
10 Aug 1938,"Debrecen, HungaryMagyar Legiforagalmi",Ford Tri-motor F-VIIIHA-FNC,12/12(0)
10 Aug 1938,"Shishijima, JapanDai Nippon",Douglas DF-151J-ANES,6/6(0)
12 Aug 1938,"Near San Andres Tuxtla, VeraCruz, MexicoMexicana",Lockheed 10E ElectraX-ABAS,11/11(0)
13 Aug 1938,"Kiel, GermanyCSA Czech Airlines",Savoia-Marchetti SM73OK-BAG,16/17(0)
15 Aug 1938,"Guanabara, BrazilSyndicato Condor",Junkers JU-52/3mPP-CAT,9/9(0)
18 Aug 1938,"Bucharest, RomaniaLOT Polish Airlines",Lockheed 14 Super ElectraSP-BNJ,0/7(0)
18 Aug 1938,"Montnago, ItalyMacchi",Macchi C-94I-NILO,15/15(0)
24 Aug 1938,"Wangmoon, ChinaChina National Aviation Corporation",Douglas DC-232,14/17(0)
24 Aug 1938,"Tokyo, JapanJapan Air / Japan Flying School",Unknown / Unknown?,5/5(53)
29 Aug 1938,"Near Tucumcari, New MexicoTranscontinental &Western Air",Ford Tri-motorNC17316,0/11(0)
29 Aug 1938,"Innisfail, AustraliaNorth Queensland Airways",De Havilland DH-84VH-UXK,5/9(0)
01 Oct 1938,"Off Bathurst, GambiaDeutsche Lufthansa",Dornier DO.18 (float plane)D-AROZ,4/4(0)
01 Oct 1938,"Grisons, SwitzerlandDeutsche Lufthansa",Junkers JU-52/3mD-AVFB,13/13(0)
10 Oct 1938,"Soest, GermanySabena",Savbia-Marchetti  S-73POO-AGT,20/20(0)
25 Oct 1938,"Mt. Dandenong, AustraliaAustralian National Airways",Douglas DC-2-112VH-UYC,18/18(0)
